MANARATAK — Complete Master's Specializations Manifest
Range: MAS-0001 to MAS-1116
Markdown files: 112
Total specializations: 1116
Sections per specialization: 16
Created: 06 August 2026

No. | File | Range | Specializations | Bytes | SHA-256
045 | masters_MAS-0441_to_MAS-0450.md | MAS-0441–MAS-0450 | 10 | 108140 | cdd27bb721d75eb0f5cf4d37b6a10b97948c1d63d487a472d9834d0da6386e92
046 | masters_MAS-0451_to_MAS-0460.md | MAS-0451–MAS-0460 | 10 | 107616 | 53c63246d07c3d8988f159c55cb305c4bc69d6c600f42769b8af4a1770ba3942
047 | masters_MAS-0461_to_MAS-0470.md | MAS-0461–MAS-0470 | 10 | 108372 | 0e032af5caf14722dec6bae95c861d53092799e5f47859199d23d145cecbe680
048 | masters_MAS-0471_to_MAS-0480.md | MAS-0471–MAS-0480 | 10 | 109148 | 93a569ff651890b523ef79b85238cd8b3595a537b5e0c5118fb315e45309f55a
049 | masters_MAS-0481_to_MAS-0490.md | MAS-0481–MAS-0490 | 10 | 110140 | b695f132b396bb0957521273086ae8ccb32daa15da80d1129c873507b86977af
050 | masters_MAS-0491_to_MAS-0500.md | MAS-0491–MAS-0500 | 10 | 110471 | cac0a9dd4b10da25dbea8db10dd9fb30e8b7cb3019aead0c5d656902575b9e4c
051 | masters_MAS-0501_to_MAS-0510.md | MAS-0501–MAS-0510 | 10 | 110046 | 4e0d36bee63cac052a3b7ed9261e4108716ae49600b41c2ac8b0fceaed1c935e
052 | masters_MAS-0511_to_MAS-0520.md | MAS-0511–MAS-0520 | 10 | 108433 | 0d687f3f861a2febcb46385f88b4de70e2cd273892999c10c3c751850ede8079
053 | masters_MAS-0521_to_MAS-0530.md | MAS-0521–MAS-0530 | 10 | 108914 | dc45e90a8efc3ff76361c9d64cee9504dd7e5ed2a524ebb959457a62ccb64adb
054 | masters_MAS-0531_to_MAS-0540.md | MAS-0531–MAS-0540 | 10 | 106484 | ee0e545d94f7efb7a0596c38b690f593d783b4b727fbec3a331f9f546def0b98
055 | masters_MAS-0541_to_MAS-0550.md | MAS-0541–MAS-0550 | 10 | 104204 | 428a321e69783671b15c3c833578cd0b2b4c7abb2e7fdf671a4ba69ae4fe1f41
056 | masters_MAS-0551_to_MAS-0560.md | MAS-0551–MAS-0560 | 10 | 101436 | 5b192170333da5fd7c56b8a8b2a692c687632fdf5bbdb0bbf28819c3edb872f5
057 | masters_MAS-0561_to_MAS-0570.md | MAS-0561–MAS-0570 | 10 | 100743 | 538504ab233e6da7025525f9de359f404df1f5abde8a86f46ff6629799b3b717
058 | masters_MAS-0571_to_MAS-0580.md | MAS-0571–MAS-0580 | 10 | 100368 | d735205b91ca59ed463975372e97939a5f00736ff9e7b399e3b4be7d4ddf8a89
059 | masters_MAS-0581_to_MAS-0590.md | MAS-0581–MAS-0590 | 10 | 100690 | ea97fc06451b8da4d82f0359a6e10d66023678b3b9444811ad0830036801e6fb
060 | masters_MAS-0591_to_MAS-0600.md | MAS-0591–MAS-0600 | 10 | 100637 | 54e597c7bd48330e22312a255662d0c0a615c0bb413c18d499336c9423c1ab16
061 | masters_MAS-0601_to_MAS-0610.md | MAS-0601–MAS-0610 | 10 | 98479 | 9f7dc819343f89d4247d9b53a2a173b39330be7669968a52c2379aa4fd6bf473
062 | masters_MAS-0611_to_MAS-0620.md | MAS-0611–MAS-0620 | 10 | 97906 | ea7bd5729ad259a56abad3a59a3cbb47e0acc87bd871278a594008f71d89f21f
063 | masters_MAS-0621_to_MAS-0630.md | MAS-0621–MAS-0630 | 10 | 98799 | 9feb636faa49356b17643dfb8c87964bc55b874173e110b3a1fb7f14e0c65767
064 | masters_MAS-0631_to_MAS-0640.md | MAS-0631–MAS-0640 | 10 | 99385 | ee184a510b4625a513a243a0352958c0fa4bda78c5a6533203e7a1f88ec9863d
065 | masters_MAS-0641_to_MAS-0650.md | MAS-0641–MAS-0650 | 10 | 99640 | fcbfa03e0086c45bd2c62adc0cf629f44d1246b9a2ea58bd5534cb41efdc0e6e
066 | masters_MAS-0651_to_MAS-0660.md | MAS-0651–MAS-0660 | 10 | 100169 | 7fc7931aecf4bdca5233a09e8ad6704c7346f4855e585f04229d76e28d689fd6
067 | masters_MAS-0661_to_MAS-0670.md | MAS-0661–MAS-0670 | 10 | 98932 | 803ef10a238cf4adac97bce4c1aa7550ca1ed8b862deae96a5ce2ddcb0f7d39b
068 | masters_MAS-0671_to_MAS-0680.md | MAS-0671–MAS-0680 | 10 | 99953 | c45374ae5d5ae8c9dd2f48ff522ac9268c521ce1dbc7f1f1a861b8a68c27ed1e
069 | masters_MAS-0681_to_MAS-0690.md | MAS-0681–MAS-0690 | 10 | 99405 | 12807d5e6e978edef16e7ac4dca0f81389cbb698fd74f7cd20cf462ed1dba3b4
070 | masters_MAS-0691_to_MAS-0700.md | MAS-0691–MAS-0700 | 10 | 100329 | f54ef32b8b7ca83a97641b4ebf1bb100344738b34c4a0a08589d6381f6fd798a
071 | masters_MAS-0701_to_MAS-0710.md | MAS-0701–MAS-0710 | 10 | 99714 | 3453996096b33e4d796ed8748014474dc5ca33579f7a943f6cd3cfed4e8deab5
072 | masters_MAS-0711_to_MAS-0720.md | MAS-0711–MAS-0720 | 10 | 100096 | be2716b3b953c1fbf0c3fed886b08f785df17b24d0c05f0ac05d33b1f01a1506
073 | masters_MAS-0721_to_MAS-0730.md | MAS-0721–MAS-0730 | 10 | 100676 | fc89c6bbf3eec4cca7f4e18732ed32234e1a5cd065605dbabab9a8df0b175a5e
074 | masters_MAS-0731_to_MAS-0740.md | MAS-0731–MAS-0740 | 10 | 97825 | ed11b6c766f2f682dcb8320e20cfc07629e4037f6b4866dbadbcc5fce221bfd3
075 | masters_MAS-0741_to_MAS-0750.md | MAS-0741–MAS-0750 | 10 | 101670 | 272070a2a4cb9305d7930cb5fcc622c27b3a90a6982eb63d17e9f69de7dd84e6
076 | masters_MAS-0751_to_MAS-0760.md | MAS-0751–MAS-0760 | 10 | 100666 | a25e57bcdede1e0e68bb3090742a0d0afa87673d89e874912dc5d54b91b135fc
077 | masters_MAS-0761_to_MAS-0770.md | MAS-0761–MAS-0770 | 10 | 101349 | a4512e4ed9f9e5ddb046b1492d9cb9560dbd18a73f6cdf4cc573cfc419913143
078 | masters_MAS-0771_to_MAS-0780.md | MAS-0771–MAS-0780 | 10 | 102072 | ef8f3eb02b010fef747ee7e82159667fca1c6298b818741c1e613c88c67796ff
079 | masters_MAS-0781_to_MAS-0790.md | MAS-0781–MAS-0790 | 10 | 102244 | 68c4305c2fab59e9d07cbb10e250beaa3b6f43ea02833f2996fe846a9525a146
080 | masters_MAS-0791_to_MAS-0800.md | MAS-0791–MAS-0800 | 10 | 103789 | ba5871d7611f6555eef8759d7e7c10d2f057a922a50f9a81b9c2bca0aafc0e19
081 | masters_MAS-0801_to_MAS-0810.md | MAS-0801–MAS-0810 | 10 | 102705 | fa22245ad19ff1d4c66ea8ecf3466a3dc66b8ed02ca510224a3ea9bca03fd6e5
082 | masters_MAS-0811_to_MAS-0820.md | MAS-0811–MAS-0820 | 10 | 101784 | 34904c0f892528ff7bf2c8fb9d1b76b1a11a729695aa4be2009966d421139e45
083 | masters_MAS-0821_to_MAS-0830.md | MAS-0821–MAS-0830 | 10 | 101423 | 413ab42137b17ff05a45ffa8192bddabf50683720b440e9c886984c02a5f0ff9
084 | masters_MAS-0831_to_MAS-0840.md | MAS-0831–MAS-0840 | 10 | 101054 | db10ede089482f674e0c0c5ac52ae5b4462f5fe74aeef654000a2d2c5586e801
085 | masters_MAS-0841_to_MAS-0850.md | MAS-0841–MAS-0850 | 10 | 115521 | 7155ece72c55758efebcb6d54716aee524950036bceaeee0378eb5f6c50e87e5
086 | masters_MAS-0851_to_MAS-0860.md | MAS-0851–MAS-0860 | 10 | 111091 | be17157138a4e174647f1dea09069f3aea8a805fa4d13a9077d82cb85782949a
087 | masters_MAS-0861_to_MAS-0870.md | MAS-0861–MAS-0870 | 10 | 110653 | 446d00268a587bbc99ad27cba725aac175368859bfac0b1681f2605e89f6483d
088 | masters_MAS-0871_to_MAS-0880.md | MAS-0871–MAS-0880 | 10 | 109843 | dc46185a1658e7ce7e4d2bcb96c6ec1c2aa431e4c73bae21aa0b8e9359026b98
089 | masters_MAS-0881_to_MAS-0890.md | MAS-0881–MAS-0890 | 10 | 109213 | de6bbf86412ffccdaa0b848f5f706d58f99163b593eedf84f9bd5879b92e1776
090 | masters_MAS-0891_to_MAS-0900.md | MAS-0891–MAS-0900 | 10 | 111609 | e5292fd5c974d54d553c25777395b2a522da833dca0448044bddff3c309f95a7
091 | masters_MAS-0901_to_MAS-0910.md | MAS-0901–MAS-0910 | 10 | 110765 | 48f69bf8ebb935720393baff11142fc6507eaf8ddfe9c0f46adfb4e406762138
092 | masters_MAS-0911_to_MAS-0920.md | MAS-0911–MAS-0920 | 10 | 109008 | 0b46929e4b155e072182ffa13cdc7cc67017c36f3f7e797af324eff980d3da69
093 | masters_MAS-0921_to_MAS-0930.md | MAS-0921–MAS-0930 | 10 | 112186 | 9bdff6ebfaf339f3237fb8707e153a6a83bc460a9ab70a1f3be0c2087d3deaae
094 | masters_MAS-0931_to_MAS-0940.md | MAS-0931–MAS-0940 | 10 | 109013 | a0a12619d37b6dac4e9409ea4dd529354a7001022aa281d3e1bfc711412d204a
095 | masters_MAS-0941_to_MAS-0950.md | MAS-0941–MAS-0950 | 10 | 96308 | cb5f2a96de076a9389dba21c86e2f2d549659a1cfdaaf3e405ac582beae63ba2
096 | masters_MAS-0951_to_MAS-0960.md | MAS-0951–MAS-0960 | 10 | 97316 | b77ed8ddec0766e279614b0ee9b41e032928bfe62118ce20283b4a9861575e36
097 | masters_MAS-0961_to_MAS-0970.md | MAS-0961–MAS-0970 | 10 | 94738 | 4323d531ce26cbbb2de56d6a91b82f5c69f410faa7035e42b90b24811dfedf13
098 | masters_MAS-0971_to_MAS-0980.md | MAS-0971–MAS-0980 | 10 | 95434 | 2253f7fde906b6f5b0c8bddb572468e8e8ed010eaa73ead691cf913cd5f64c01
099 | masters_MAS-0981_to_MAS-0990.md | MAS-0981–MAS-0990 | 10 | 96840 | 41d450f55d2ded4704e4bd077d23ad5d169f5239662b7d995bfa824027fdfbac
100 | masters_MAS-0991_to_MAS-1000.md | MAS-0991–MAS-1000 | 10 | 97585 | b3af12411fc578516d8ff5be5e27abb87afc9f0831f5ed83736d59e02a0fb5a6
101 | masters_MAS-1001_to_MAS-1010.md | MAS-1001–MAS-1010 | 10 | 98674 | 3ea76fead9f805d1ed09bbd012efc832f225cfc982b3985b0edfcf894a2bde58
102 | masters_MAS-1011_to_MAS-1020.md | MAS-1011–MAS-1020 | 10 | 97894 | d3c46255aba1ffc367d70a06fcef385192c0f81a530e868fc0214edb0cca294d
103 | masters_MAS-1021_to_MAS-1030.md | MAS-1021–MAS-1030 | 10 | 98987 | 08eb9f2a51a909de04d548799937727135f3ceb8da4db3c7ea6217382b488b61
104 | masters_MAS-1031_to_MAS-1040.md | MAS-1031–MAS-1040 | 10 | 98167 | 7a8cc2bacaf9d90a13b1ea22c3b85cd706c21f34fa3297207259b4f894befd18
105 | masters_MAS-1041_to_MAS-1050.md | MAS-1041–MAS-1050 | 10 | 104755 | 9b08eae1fdf57ca010b32088d85461bad1956d8ee08356cd08cfd254065f5c1a
106 | masters_MAS-1051_to_MAS-1060.md | MAS-1051–MAS-1060 | 10 | 105475 | 07cd22f8e7595b651163602b087edcf0ec03289f1caf962c5955ec4b5765021b
107 | masters_MAS-1061_to_MAS-1070.md | MAS-1061–MAS-1070 | 10 | 107179 | 1c4e6fcad32e6a9d5d1f7b5dc52fcafb17e1719463128a26df21be64ad3c9d5e
108 | masters_MAS-1071_to_MAS-1080.md | MAS-1071–MAS-1080 | 10 | 105198 | 4900f27b0fd7b2e7876783562db9d42df9542232d7bed8fc5e4511388fa6cc96
109 | masters_MAS-1081_to_MAS-1090.md | MAS-1081–MAS-1090 | 10 | 101430 | 89aab647da7b24220593c580361c084aae2200512e9ac03a994853b00d21e8cf
110 | masters_MAS-1091_to_MAS-1100.md | MAS-1091–MAS-1100 | 10 | 99716 | d100e69435628086c3096fed2d67a88633f7d30f7ffc1f0e82c6806c3fad769c
111 | masters_MAS-1101_to_MAS-1110.md | MAS-1101–MAS-1110 | 10 | 100316 | db14cc8f5094cdc414ba5d5e7f1861152baee4a7fc26fc32190deff418c1bb8b
112 | masters_MAS-1111_to_MAS-1116.md | MAS-1111–MAS-1116 | 06 | 59843 | 9622482349751599b6bd01c02ba70d55266bf96aee93e4e8d080da857a6aeb99
